        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604100000,   1.476,   1.079,   0.000,  -0.397,   1.079,   0.000,   1.079,   0.000,   1.079
202604100006,   1.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100012,   1.542,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100018,   1.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100024,   1.620,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100030,   1.664,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100036,   1.710,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100042,   1.759,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100048,   1.810,   1.338,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100054,   1.864,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100100,   1.920,   1.430,   0.000,  -0.490,   1.430,   0.000,   1.430,   0.000,   1.430
202604100106,   1.978,   1.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100112,   2.038,   1.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100118,   2.099,   1.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100124,   2.162,   1.659,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100130,   2.227,   1.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100136,   2.292,   1.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100142,   2.358,   1.708,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100148,   2.424,   1.767,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100154,   2.491,   1.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100200,   2.557,   1.849,   0.000,  -0.708,   1.849,   0.000,   1.849,   0.000,   1.849
202604100206,   2.624,   1.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100212,   2.690,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100218,   2.755,   2.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100224,   2.820,   2.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100230,   2.883,   2.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604100236,   2.945,   2.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
